Exp. index,channel,behavior,note,occur time,mitosis-phase1,mitosis-phase2,mitosis-phase3,mitosis-phase4,migration-phase1,migration-phase2,migration-phase3,,,
3,15,Migrate-in,,15.05,,,,,13.133,14.3,15.633,13.133,15.633,1
3,15,Migrate-in,,20.8,,,,,20.717,22.05,23.883,20.717,23.883,1
3,15,Migrate-out,,53.35,,,,,51.933,53.517,55.183,51.933,55.183,1
3,16,Migrate-out,,17.55,,,,,16.717,17.3,17.883,16.717,17.883,1
3,16,Migrate-in,,19.883,,,,,19.217,19.883,20.8,19.217,20.8,1
3,16,Migrate-out,,27.967,,,,,27.217,28.05,28.3,27.217,28.3,1
3,16,Migrate-in,,40.733,,,,,39.567,40.067,41.233,39.567,41.233,1
20,5,Migrate-in,,34.733,,,,,33.317,35.317,36.15,33.317,35.317,1
20,5,Migrate-out,,43.4,,,,,43.233,43.4,44.317,43.233,44.317,1
20,10,Migrate-in,,21.117,,,,,20.783,21.2,22.283,20.783,22.283,1
20,10,Migrate-in,,33.567,,,,,32.15,33.733,35.15,32.15,35.15,1
20,11,Migrate-in,,12.083,,,,,11,12.083,13.583,11,13.583,1
20,11,Mitosis-phase1,,18.86,17.25,19.2,19.367,19.95,,,,17.25,19.95,1
20,11,Mitosis-phase2,,19.783,,,,,,,,0,0,1
20,11,Mitosis-phase1,,24.367,23.533,24.7,24.95,25.95,,,,23.533,25.95,1
20,11,Mitosis-phase2,,25.533,,,,,,,,0,0,1
20,11,Migrate-in,,53.983,,,,,52.9,53.9,55.15,52.9,55.15,1
20,14,Mitosis-phase1,,21.367,20.783,21.783,21.95,22.867,,,,20.783,22.867,1
20,14,Mitosis-phase2,,22.033,,,,,,,,0,0,1
